athlete,gender,timestamp,distance (m),elapsed time (s),elevation gain (m),average heart rate (bpm),M/S,K/H,T/K,distance_group
6215611,M,13/11/2014 18:50,515.9,99,0.0,,5.211111111111111,18.76,3.1982942430703623,500-1000
6215611,M,13/11/2014 18:46,512.6,101,0.0,,5.075247524752475,18.27089108910891,3.283912082195344,500-1000
6215611,M,13/11/2014 18:43,505.2,102,0.0,,4.952941176470588,17.83058823529412,3.365003958828187,500-1000
6215611,M,13/11/2014 18:40,514.4,104,0.0,,4.946153846153846,17.806153846153848,3.3696215655780195,500-1000
6215611,M,13/11/2014 18:36,509.6,104,0.0,,4.9,17.64,3.401360544217687,500-1000
6215611,M,13/11/2014 18:33,514.1,105,0.0,,4.896190476190476,17.626285714285714,3.404007002528691,500-1000
6215611,M,13/11/2014 18:30,515.2,106,0.0,,4.860377358490567,17.49735849056604,3.429089026915113,500-1000
6215611,M,13/11/2014 18:27,514.5,108,0.0,,4.763888888888889,17.15,3.4985422740524785,500-1000
6215611,M,04/11/2014 18:44,418.1,79,0.0,,5.29240506329114,19.052658227848102,3.149166865981025,100-500
6215611,M,04/11/2014 18:42,415.6,83,0.0,,5.007228915662651,18.026024096385544,3.3285210137953154,100-500
6215611,M,04/11/2014 18:40,418.2,80,0.0,,5.2275,18.819,3.188267176789416,100-500
6215611,M,04/11/2014 18:38,416.7,83,0.0,,5.020481927710844,18.07373493975904,3.3197344212463,100-500
6215611,M,04/11/2014 18:36,419.9,84,0.0,,4.998809523809523,17.995714285714282,3.3341271731364617,100-500
6215611,M,31/10/2014 19:13,692.6,293,0.0,,2.3638225255972696,8.509761092150171,7.050726730195398,500-1000
22843389,F,04/05/2018 10:26,602.1,200,0.0,150.3,3.0105,10.8378,5.536178929302995,500-1000
22843389,F,19/06/2017 17:48,844.2,270,9.7,152.2,3.126666666666667,11.256000000000002,5.33049040511727,500-1000
19048091,M,09/11/2017 08:02,68.9,30,0.0,,2.296666666666667,8.268,7.2568940493468785,0-100
31889836,M,26/10/2019 15:01,29.0,7,0.0,,4.142857142857143,14.914285714285716,4.022988505747126,0-100
31889836,M,26/10/2019 14:23,103.5,26,0.0,,3.980769230769231,14.330769230769231,4.186795491143317,100-500
31889836,M,14/09/2019 08:59,216.9,59,0.0,,3.676271186440678,13.23457627118644,4.533579222375903,100-500
14588097,F,13/06/2019 17:48,631.5,240,2.1,157.0,2.63125,9.4725,6.334125098970705,500-1000
14588097,F,21/03/2019 17:44,967.4,345,2.1,142.1,2.8040579710144926,10.094608695652171,5.943766797601819,500-1000
14588097,F,08/04/2018 07:09,604.9,231,3.5,135.9,2.6186147186147184,9.427012987012986,6.364688378244338,500-1000
3460571,M,16/06/2019 13:50,383.8,117,18.0,166.0,3.28034188034188,11.80923076923077,5.080771235018239,100-500
3460571,M,16/06/2019 11:38,865.0,366,50.0,162.8,2.363387978142077,8.508196721311474,7.052023121387284,500-1000
3460571,M,16/06/2019 08:47,673.8,256,6.6,144.6,2.63203125,9.4753125,6.332244978727615,500-1000
3460571,M,26/05/2019 09:10,488.6,197,42.0,166.7,2.4802030456852795,8.928730964467006,6.719879929048983,100-500
3460571,M,16/05/2019 12:56,481.7,165,4.4,131.0,2.9193939393939394,10.509818181818185,5.708947477683204,100-500
3460571,M,16/05/2019 12:40,511.1,188,6.4,129.5,2.718617021276596,9.787021276595745,6.1305680558273,500-1000
3460571,M,16/05/2019 12:28,509.2,176,8.8,131.1,2.893181818181818,10.415454545454546,5.760670332547787,500-1000
3460571,M,10/06/2018 09:47,539.0,226,77.2,169.5,2.384955752212389,8.585840707964602,6.988249845392702,500-1000
3460571,M,10/06/2018 06:01,855.9,351,7.0,109.9,2.4384615384615382,8.778461538461537,6.83491062039958,500-1000
3460571,M,05/06/2018 11:42,365.5,139,80.6,128.3,2.629496402877698,9.466187050359713,6.338349293205654,100-500
3460571,M,05/06/2018 11:32,527.7,235,5.8,109.0,2.245531914893617,8.083914893617022,7.422146421577916,500-1000
3460571,M,30/10/2016 05:13,15.0,4,0.0,,3.75,13.5,4.444444444444445,0-100
12021072,M,08/11/2018 03:37,330.4,1,0.0,57.0,330.4,1189.44,0.0504439063761097,100-500
12021072,M,28/03/2017 16:07,169.3,66,5.0,,2.5651515151515154,9.234545454545456,6.497341996455994,100-500
11348733,F,13/07/2019 04:49,817.8,358,39.1,,2.2843575418994413,8.223687150837987,7.295997391375236,500-1000
11348733,F,16/04/2019 11:04,966.2,393,2.0,142.1,2.45852417302799,8.850687022900763,6.779134754709171,500-1000
11348733,F,14/04/2019 15:22,833.5,310,0.0,144.7,2.688709677419354,9.679354838709676,6.1987602479504105,500-1000
11348733,F,07/03/2018 18:04,858.3,315,2.9,125.4,2.7247619047619045,9.809142857142858,6.116742397763019,500-1000
11348733,F,27/05/2017 03:11,936.4,405,2.9,113.3,2.312098765432099,8.323555555555556,7.208457923964118,500-1000
27479582,M,15/05/2019 15:01,962.9,204,2.1,,4.720098039215686,16.992352941176467,3.531000103852945,500-1000
