Gender,Name,Time,Distance,moyenne/athlete/3k,moyenne/générale/3k,Rapport(Athlete/moyenne)3k au KM,moyenne/athlete/5k,moyenne/générale/5k,Rapport(Athlete/moyenne)5k au km,moyenne/athlete/10k,moyenne/générale/10k,Rapport(Athlete/moyenne)10k au km,moyenne/athlete/21k,moyenne/générale/21k,Rapport(Athlete/moyenne)21k au km,moyenne/athlete/42k,moyenne/générale/42k,Rapport(Athlete/moyenne)42k au km,Score/athlete,T/K
M,l103,2166.0,10000,,4.263705065359477,,,5.002747747747748,,3.61,5.3857201086956525,-1.7757201086956527,,5.641021691695546,,,5.949718491385158,,-1.7757201086956527,3.61
M,l104,2174.0,10000,,4.263705065359477,,,5.002747747747748,,3.6233333333333335,5.3857201086956525,-1.762386775362319,,5.641021691695546,,,5.949718491385158,,-1.762386775362319,3.6233333333333335
M,l105,2177.0,10000,,4.263705065359477,,,5.002747747747748,,3.628333333333333,5.3857201086956525,-1.7573867753623196,,5.641021691695546,,,5.949718491385158,,-1.7573867753623196,3.628333333333333
M,l106,2241.0,10000,,4.263705065359477,,,5.002747747747748,,3.735,5.3857201086956525,-1.6507201086956527,,5.641021691695546,,,5.949718491385158,,-1.6507201086956527,3.735
M,l107,2272.0,10000,,4.263705065359477,,,5.002747747747748,,3.7866666666666666,5.3857201086956525,-1.599053442028986,,5.641021691695546,,,5.949718491385158,,-1.599053442028986,3.7866666666666666
M,l108,2297.0,10000,,4.263705065359477,,,5.002747747747748,,3.828333333333333,5.3857201086956525,-1.5573867753623194,,5.641021691695546,,,5.949718491385158,,-1.5573867753623194,3.828333333333333
M,l109,2298.0,10000,,4.263705065359477,,,5.002747747747748,,3.83,5.3857201086956525,-1.5557201086956525,,5.641021691695546,,,5.949718491385158,,-1.5557201086956525,3.83
M,l1010,2308.0,10000,,4.263705065359477,,,5.002747747747748,,3.8466666666666667,5.3857201086956525,-1.5390534420289859,,5.641021691695546,,,5.949718491385158,,-1.5390534420289859,3.8466666666666667
M,l1011,2318.0,10000,,4.263705065359477,,,5.002747747747748,,3.8633333333333337,5.3857201086956525,-1.5223867753623188,,5.641021691695546,,,5.949718491385158,,-1.5223867753623188,3.8633333333333337
M,l1012,2334.0,10000,,4.263705065359477,,,5.002747747747748,,3.89,5.3857201086956525,-1.4957201086956524,,5.641021691695546,,,5.949718491385158,,-1.4957201086956524,3.89
M,l1013,2342.0,10000,,4.263705065359477,,,5.002747747747748,,3.9033333333333333,5.3857201086956525,-1.4823867753623192,,5.641021691695546,,,5.949718491385158,,-1.4823867753623192,3.9033333333333333
M,l1014,2346.0,10000,,4.263705065359477,,,5.002747747747748,,3.9099999999999997,5.3857201086956525,-1.4757201086956528,,5.641021691695546,,,5.949718491385158,,-1.4757201086956528,3.9099999999999997
M,l1015,2350.0,10000,,4.263705065359477,,,5.002747747747748,,3.9166666666666665,5.3857201086956525,-1.469053442028986,,5.641021691695546,,,5.949718491385158,,-1.469053442028986,3.9166666666666665
M,l1016,2356.0,10000,,4.263705065359477,,,5.002747747747748,,3.9266666666666667,5.3857201086956525,-1.4590534420289858,,5.641021691695546,,,5.949718491385158,,-1.4590534420289858,3.9266666666666667
M,l1017,2360.0,10000,,4.263705065359477,,,5.002747747747748,,3.933333333333333,5.3857201086956525,-1.4523867753623194,,5.641021691695546,,,5.949718491385158,,-1.4523867753623194,3.933333333333333
M,l1018,2364.0,10000,,4.263705065359477,,,5.002747747747748,,3.94,5.3857201086956525,-1.4457201086956526,,5.641021691695546,,,5.949718491385158,,-1.4457201086956526,3.94
M,l1019,2369.0,10000,,4.263705065359477,,,5.002747747747748,,3.9483333333333333,5.3857201086956525,-1.4373867753623193,,5.641021691695546,,,5.949718491385158,,-1.4373867753623193,3.9483333333333333
M,l1020,2399.0,10000,,4.263705065359477,,,5.002747747747748,,3.9983333333333335,5.3857201086956525,-1.387386775362319,,5.641021691695546,,,5.949718491385158,,-1.387386775362319,3.9983333333333335
M,l1021,2401.0,10000,,4.263705065359477,,,5.002747747747748,,4.001666666666667,5.3857201086956525,-1.3840534420289856,,5.641021691695546,,,5.949718491385158,,-1.3840534420289856,4.001666666666667
