Gender,Name,Time,Distance,moyenne/athlete/3k,moyenne/générale/3k,Rapport(Athlete/moyenne)3k au KM,moyenne/athlete/5k,moyenne/générale/5k,Rapport(Athlete/moyenne)5k au km,moyenne/athlete/10k,moyenne/générale/10k,Rapport(Athlete/moyenne)10k au km,moyenne/athlete/21k,moyenne/générale/21k,Rapport(Athlete/moyenne)21k au km,moyenne/athlete/42k,moyenne/générale/42k,Rapport(Athlete/moyenne)42k au km,Score/athlete,T/K
M,l103,2166.0,10000,,13.571658986175116,,,25.01373873873874,,36.1,53.85720108695652,-1.775720108695652,,118.46145552560647,,,249.88817663817662,,-1.775720108695652,0.2166
M,l104,2174.0,10000,,13.571658986175116,,,25.01373873873874,,36.233333333333334,53.85720108695652,-1.7623867753623188,,118.46145552560647,,,249.88817663817662,,-1.7623867753623188,0.2174
M,l105,2177.0,10000,,13.571658986175116,,,25.01373873873874,,36.28333333333333,53.85720108695652,-1.7573867753623191,,118.46145552560647,,,249.88817663817662,,-1.7573867753623191,0.2177
M,l106,2241.0,10000,,13.571658986175116,,,25.01373873873874,,37.35,53.85720108695652,-1.650720108695652,,118.46145552560647,,,249.88817663817662,,-1.650720108695652,0.2241
M,l107,2272.0,10000,,13.571658986175116,,,25.01373873873874,,37.86666666666667,53.85720108695652,-1.5990534420289855,,118.46145552560647,,,249.88817663817662,,-1.5990534420289855,0.2272
M,l108,2297.0,10000,,13.571658986175116,,,25.01373873873874,,38.28333333333333,53.85720108695652,-1.557386775362319,,118.46145552560647,,,249.88817663817662,,-1.557386775362319,0.2297
M,l109,2298.0,10000,,13.571658986175116,,,25.01373873873874,,38.3,53.85720108695652,-1.5557201086956525,,118.46145552560647,,,249.88817663817662,,-1.5557201086956525,0.2298
M,l1010,2308.0,10000,,13.571658986175116,,,25.01373873873874,,38.46666666666667,53.85720108695652,-1.5390534420289854,,118.46145552560647,,,249.88817663817662,,-1.5390534420289854,0.2308
M,l1011,2318.0,10000,,13.571658986175116,,,25.01373873873874,,38.63333333333333,53.85720108695652,-1.5223867753623188,,118.46145552560647,,,249.88817663817662,,-1.5223867753623188,0.2318
M,l1012,2334.0,10000,,13.571658986175116,,,25.01373873873874,,38.9,53.85720108695652,-1.4957201086956524,,118.46145552560647,,,249.88817663817662,,-1.4957201086956524,0.2334
M,l1013,2342.0,10000,,13.571658986175116,,,25.01373873873874,,39.03333333333333,53.85720108695652,-1.482386775362319,,118.46145552560647,,,249.88817663817662,,-1.482386775362319,0.2342
M,l1014,2346.0,10000,,13.571658986175116,,,25.01373873873874,,39.1,53.85720108695652,-1.475720108695652,,118.46145552560647,,,249.88817663817662,,-1.475720108695652,0.2346
M,l1015,2350.0,10000,,13.571658986175116,,,25.01373873873874,,39.166666666666664,53.85720108695652,-1.4690534420289858,,118.46145552560647,,,249.88817663817662,,-1.4690534420289858,0.235
M,l1016,2356.0,10000,,13.571658986175116,,,25.01373873873874,,39.266666666666666,53.85720108695652,-1.4590534420289856,,118.46145552560647,,,249.88817663817662,,-1.4590534420289856,0.2356
M,l1017,2360.0,10000,,13.571658986175116,,,25.01373873873874,,39.333333333333336,53.85720108695652,-1.4523867753623185,,118.46145552560647,,,249.88817663817662,,-1.4523867753623185,0.236
M,l1018,2364.0,10000,,13.571658986175116,,,25.01373873873874,,39.4,53.85720108695652,-1.4457201086956524,,118.46145552560647,,,249.88817663817662,,-1.4457201086956524,0.2364
M,l1019,2369.0,10000,,13.571658986175116,,,25.01373873873874,,39.483333333333334,53.85720108695652,-1.4373867753623188,,118.46145552560647,,,249.88817663817662,,-1.4373867753623188,0.2369
M,l1020,2399.0,10000,,13.571658986175116,,,25.01373873873874,,39.983333333333334,53.85720108695652,-1.3873867753623188,,118.46145552560647,,,249.88817663817662,,-1.3873867753623188,0.2399
M,l1021,2401.0,10000,,13.571658986175116,,,25.01373873873874,,40.016666666666666,53.85720108695652,-1.3840534420289856,,118.46145552560647,,,249.88817663817662,,-1.3840534420289856,0.2401
M,l1022,2428.0,10000,,13.571658986175116,,,25.01373873873874,,40.46666666666667,53.85720108695652,-1.3390534420289852,,118.46145552560647,,,249.88817663817662,,-1.3390534420289852,0.2428
M,l1023,2430.0,10000,,13.571658986175116,,,25.01373873873874,,40.5,53.85720108695652,-1.3357201086956523,,118.46145552560647,,,249.88817663817662,,-1.3357201086956523,0.243
