Gender,Name,Time,Distance,average_speed,K/H
M,l103,2166.0,10000.0,4.616805170821792,16.62049861495845
M,l104,2174.0,10000.0,4.599816007359705,16.55933762649494
M,l105,2177.0,10000.0,4.593477262287552,16.536518144235185
M,l106,2241.0,10000.0,4.462293618920125,16.06425702811245
M,l107,2272.0,10000.0,4.401408450704225,15.845070422535212
M,l108,2297.0,10000.0,4.3535045711798,15.672616456247278
M,l109,2298.0,10000.0,4.351610095735422,15.66579634464752
M,l1010,2308.0,10000.0,4.332755632582322,15.59792027729636
M,l1011,2318.0,10000.0,4.3140638481449525,15.530629853321829
M,l1012,2334.0,10000.0,4.284490145672665,15.424164524421592
M,l1013,2342.0,10000.0,4.269854824935952,15.371477369769428
M,l1014,2346.0,10000.0,4.262574595055414,15.34526854219949
M,l1015,2350.0,10000.0,4.25531914893617,15.319148936170214
M,l1016,2356.0,10000.0,4.244482173174872,15.28013582342954
M,l1017,2360.0,10000.0,4.237288135593221,15.254237288135595
M,l1018,2364.0,10000.0,4.230118443316413,15.228426395939088
M,l1019,2369.0,10000.0,4.221190375685944,15.196285352469395
M,l1020,2399.0,10000.0,4.168403501458942,15.00625260525219
M,l1021,2401.0,10000.0,4.164931278633903,14.99375260308205
M,l1022,2428.0,10000.0,4.118616144975288,14.827018121911037
M,l1023,2430.0,10000.0,4.11522633744856,14.814814814814811
M,l1024,2434.0,10000.0,4.108463434675431,14.790468364831552
M,l1025,2438.0,10000.0,4.101722723543888,14.766201804758
M,l1026,2460.0,10000.0,4.065040650406504,14.634146341463415
M,l1027,2463.0,10000.0,4.060089321965084,14.6163215590743
M,l1028,2493.0,10000.0,4.011231448054553,14.44043321299639
M,l1029,2503.0,10000.0,3.995205753096284,14.382740711146624
M,l1030,2503.0,10000.0,3.995205753096284,14.382740711146624
M,l1031,2524.0,10000.0,3.961965134706815,14.263074484944532
M,l1032,2530.0,10000.0,3.952569169960474,14.229249011857704
M,l1033,2547.0,10000.0,3.926187671770711,14.13427561837456
M,l1034,2548.0,10000.0,3.924646781789639,14.1287284144427
M,l1035,2557.0,10000.0,3.910833007430583,14.078998826750098
M,l1036,2557.0,10000.0,3.910833007430583,14.078998826750098
M,l1037,2560.0,10000.0,3.90625,14.0625
M,l1038,2561.0,10000.0,3.904724716907458,14.057008980866849
M,l1039,2566.0,10000.0,3.897116134060795,14.02961808261886
M,l1040,2569.0,10000.0,3.892565200467108,14.013234721681586
M,l1041,2574.0,10000.0,3.885003885003885,13.986013986013988
M,l1042,2581.0,10000.0,3.874467260751647,13.948082138705928
M,l1043,2584.0,10000.0,3.869969040247678,13.93188854489164
M,l1044,2584.0,10000.0,3.869969040247678,13.93188854489164
M,l1045,2585.0,10000.0,3.8684719535783367,13.926499032882012
M,l1046,2603.0,10000.0,3.84172109104879,13.830195927775645
M,l1047,2603.0,10000.0,3.84172109104879,13.830195927775645
M,l1048,2627.0,10000.0,3.806623524933384,13.703844689760183
M,l1049,2631.0,10000.0,3.800836183960471,13.683010262257696
M,l1050,2632.0,10000.0,3.7993920972644375,13.677811550151976
M,l1051,2635.0,10000.0,3.795066413662239,13.66223908918406
M,l1052,2645.0,10000.0,3.780718336483932,13.610586011342155
M,l1053,2647.0,10000.0,3.777861730260673,13.60030222893842
M,l1054,2648.0,10000.0,3.776435045317221,13.595166163141991
M,l1055,2653.0,10000.0,3.769317753486619,13.569543912551827
M,l1056,2653.0,10000.0,3.769317753486619,13.569543912551827
M,l1058,2657.0,10000.0,3.763643206624012,13.549115543846444
M,l1059,2680.0,10000.0,3.7313432835820897,13.432835820895525
M,l1061,2682.0,10000.0,3.728560775540642,13.422818791946307
M,l1062,2682.0,10000.0,3.728560775540642,13.422818791946307
M,l1063,2683.0,10000.0,3.727171077152441,13.417815877748788
M,l1064,2686.0,10000.0,3.7230081906180192,13.402829486224867
M,l1066,2701.0,10000.0,3.702332469455757,13.328396890040723
M,l1069,2717.0,10000.0,3.68052999631947,13.249907986750092
M,l1070,2727.0,10000.0,3.6670333700036672,13.201320132013205
M,l1071,2733.0,10000.0,3.658982802780827,13.172338090010976
M,l1072,2740.0,10000.0,3.6496350364963503,13.13868613138686
M,l1074,2745.0,10000.0,3.6429872495446265,13.114754098360656
M,l1075,2746.0,10000.0,3.641660597232338,13.109978150036415
M,l1076,2746.0,10000.0,3.641660597232338,13.109978150036415
M,l1077,2747.0,10000.0,3.6403349108117946,13.10520567892246
M,l1078,2766.0,10000.0,3.615328994938539,13.015184381778742
M,l1079,2771.0,10000.0,3.608805485384338,12.991699747383617
M,l1080,2775.0,10000.0,3.603603603603604,12.972972972972974
M,l1081,2785.0,10000.0,3.5906642728904847,12.926391382405743
M,l1082,2795.0,10000.0,3.577817531305904,12.880143112701251
M,l1083,2798.0,10000.0,3.5739814152966405,12.866333095067906
M,l1084,2798.0,10000.0,3.5739814152966405,12.866333095067906
M,l1085,2810.0,10000.0,3.5587188612099645,12.811387900355871
M,l1086,2811.0,10000.0,3.5574528637495555,12.8068303094984
M,l1087,2815.0,10000.0,3.552397868561279,12.788632326820604
M,l1088,2826.0,10000.0,3.538570417551309,12.738853503184712
M,l1089,2826.0,10000.0,3.538570417551309,12.738853503184712
M,l1090,2830.0,10000.0,3.53356890459364,12.7208480565371
M,l1091,2843.0,10000.0,3.5174111853675694,12.66268026732325
M,l1092,2851.0,10000.0,3.50754121360926,12.627148368993335
M,l1093,2859.0,10000.0,3.497726477789437,12.591815320041972
M,l1094,2868.0,10000.0,3.486750348675035,12.552301255230129
M,l1095,2874.0,10000.0,3.4794711203897006,12.526096033402922
M,l1096,2881.0,10000.0,3.471017007983339,12.49566122874002
M,l1097,2895.0,10000.0,3.454231433506045,12.43523316062176
M,l1098,2901.0,10000.0,3.447087211306446,12.409513960703205
M,l1099,2905.0,10000.0,3.442340791738382,12.392426850258175
M,l10101,2908.0,10000.0,3.43878954607978,12.379642365887207
M,l10103,2909.0,10000.0,3.4376074252320383,12.375386730835338
M,l10104,2911.0,10000.0,3.4352456200618344,12.366884232222604
M,l10105,2912.0,10000.0,3.434065934065934,12.362637362637363
M,l10106,2912.0,10000.0,3.434065934065934,12.362637362637363
M,l10108,2920.0,10000.0,3.424657534246576,12.32876712328767
M,l10109,2925.0,10000.0,3.418803418803418,12.307692307692308
M,l10111,2931.0,10000.0,3.41180484476288,12.282497441146369
M,l10112,2935.0,10000.0,3.4071550255536627,12.265758091993186
M,l10113,2939.0,10000.0,3.402517863218782,12.249064307587616
M,l10114,2945.0,10000.0,3.395585738539898,12.224108658743631
M,l10115,2945.0,10000.0,3.395585738539898,12.224108658743631
M,l10116,2947.0,10000.0,3.39328130302002,12.215812690872074
M,l10117,2947.0,10000.0,3.39328130302002,12.215812690872074
M,l10118,2952.0,10000.0,3.3875338753387534,12.195121951219512
M,l10119,2959.0,10000.0,3.379520108144644,12.166272389320715
M,l10120,2962.0,10000.0,3.37609723160027,12.153950033760973
M,l10121,2966.0,10000.0,3.37154416722859,12.137559002022927
M,l10122,2975.0,10000.0,3.361344537815126,12.100840336134452
M,l10123,2977.0,10000.0,3.359086328518643,12.092710782667114
M,l10124,2978.0,10000.0,3.3579583613163195,12.08865010073875
M,l10125,2983.0,10000.0,3.352329869259135,12.068387529332886
M,l10126,2987.0,10000.0,3.347840642785404,12.052226314027452
M,l10127,2988.0,10000.0,3.3467202141900936,12.048192771084338
M,l10129,2994.0,10000.0,3.3400133600534403,12.024048096192386
M,l10130,2996.0,10000.0,3.337783711615488,12.016021361815756
M,l10131,2999.0,10000.0,3.334444814938313,12.004001333777923
M,l10132,3001.0,10000.0,3.332222592469177,11.99600133288904
M,l10133,3001.0,10000.0,3.332222592469177,11.99600133288904
M,l10134,3002.0,10000.0,3.331112591605596,11.992005329780143
M,l10135,3008.0,10000.0,3.324468085106383,11.968085106382976
M,l10136,3016.0,10000.0,3.315649867374005,11.93633952254642
M,l10137,3021.0,10000.0,3.3101621979477,11.91658391261172
M,l10138,3026.0,10000.0,3.304692663582286,11.896893588896232
M,l10139,3030.0,10000.0,3.3003300330033003,11.88118811881188
M,l10140,3030.0,10000.0,3.3003300330033003,11.88118811881188
M,l10141,3032.0,10000.0,3.298153034300792,11.873350923482851
M,l10142,3047.0,10000.0,3.2819166393173616,11.814899901542502
M,l10143,3049.0,10000.0,3.279763857002296,11.807149885208265
M,l10144,3049.0,10000.0,3.279763857002296,11.807149885208265
M,l10145,3052.0,10000.0,3.2765399737876804,11.79554390563565
M,l10148,3070.0,10000.0,3.257328990228013,11.726384364820849
M,l10149,3071.0,10000.0,3.2562683165092805,11.72256593943341
M,l10151,3078.0,10000.0,3.248862897985705,11.695906432748538
M,l10153,3087.0,10000.0,3.2393909944930352,11.661807580174928
M,l10154,3088.0,10000.0,3.238341968911917,11.658031088082902
M,l10156,3095.0,10000.0,3.231017770597738,11.631663974151856
M,l10157,3096.0,10000.0,3.2299741602067185,11.627906976744187
M,l10160,3112.0,10000.0,3.2133676092544987,11.568123393316196
M,l10161,3112.0,10000.0,3.2133676092544987,11.568123393316196
M,l10162,3113.0,10000.0,3.2123353678124,11.56440732412464
M,l10163,3119.0,10000.0,3.206155819172812,11.542160949022122
M,l10164,3125.0,10000.0,3.2,11.52
M,l10166,3128.0,10000.0,3.1969309462915603,11.508951406649617
M,l10167,3129.0,10000.0,3.1959092361776924,11.505273250239693
M,l10168,3129.0,10000.0,3.1959092361776924,11.505273250239693
M,l10170,3137.0,10000.0,3.18775900541919,11.475932419509084
M,l10171,3139.0,10000.0,3.1857279388340234,11.468620579802485
M,l10172,3141.0,10000.0,3.183699458771092,11.461318051575931
M,l10173,3145.0,10000.0,3.179650238473768,11.446740858505564
M,l10174,3149.0,10000.0,3.1756113051762465,11.432200698634489
M,l10175,3152.0,10000.0,3.172588832487309,11.421319796954316
M,l10176,3152.0,10000.0,3.172588832487309,11.421319796954316
M,l10177,3159.0,10000.0,3.1655587211142766,11.396011396011396
M,l10179,3175.0,10000.0,3.1496062992125986,11.338582677165356
M,l10180,3183.0,10000.0,3.1416902293433866,11.310084825636192
M,l10181,3188.0,10000.0,3.136762860727729,11.292346298619824
M,l10183,3191.0,10000.0,3.133813851457224,11.281729865246003
M,l10184,3191.0,10000.0,3.133813851457224,11.281729865246003
M,l10185,3200.0,10000.0,3.125,11.25
M,l10187,3201.0,10000.0,3.124023742580444,11.246485473289596
M,l10188,3202.0,10000.0,3.1230480949406623,11.242973141786385
M,l10189,3210.0,10000.0,3.115264797507788,11.214953271028037
M,l10191,3215.0,10000.0,3.1104199066874028,11.19751166407465
M,l10192,3215.0,10000.0,3.1104199066874028,11.19751166407465
M,l10194,3229.0,10000.0,3.096934035305048,11.148962527098172
M,l10195,3229.0,10000.0,3.096934035305048,11.148962527098172
M,l10196,3238.0,10000.0,3.0883261272390365,11.117974058060533
M,l10199,3253.0,10000.0,3.0740854595757763,11.066707654472795
M,l10200,3263.0,10000.0,3.064664419246093,11.032791909285931
M,l10201,3263.0,10000.0,3.064664419246093,11.032791909285931
M,l10202,3264.0,10000.0,3.063725490196078,11.029411764705882
M,l10203,3278.0,10000.0,3.050640634533252,10.982306284319709
M,l10204,3280.0,10000.0,3.048780487804878,10.975609756097562
M,l10205,3282.0,10000.0,3.0469226081657528,10.96892138939671
M,l10207,3284.0,10000.0,3.045066991473812,10.962241169305724
M,l10208,3307.0,10000.0,3.023888720895071,10.885999395222257
M,l10209,3308.0,10000.0,3.022974607013301,10.882708585247885
M,l10210,3311.0,10000.0,3.020235578375113,10.872848082150409
M,l10214,3324.0,10000.0,3.0084235860409145,10.830324909747292
M,l10216,3330.0,10000.0,3.003003003003003,10.81081081081081
M,l10217,3330.0,10000.0,3.003003003003003,10.81081081081081
M,l10219,3333.0,10000.0,3.0003000300030003,10.8010801080108
M,l10221,3334.0,10000.0,2.9994001199760048,10.797840431913617
M,l10222,3338.0,10000.0,2.995805871779509,10.784901138406232
M,l10223,3338.0,10000.0,2.995805871779509,10.784901138406232
M,l10226,3359.0,10000.0,2.977076510866329,10.717475439118786
M,l10227,3364.0,10000.0,2.972651605231867,10.70154577883472
M,l10228,3369.0,10000.0,2.9682398337785694,10.685663401602849
M,l10229,3371.0,10000.0,2.966478789676654,10.679323642835952
M,l10231,3374.0,10000.0,2.963841138114997,10.669828097213989
M,l10233,3379.0,10000.0,2.959455460195324,10.654039656703167
M,l10236,3386.0,10000.0,2.9533372711163617,10.632014176018902
M,l10237,3387.0,10000.0,2.952465308532625,10.62887511071745
M,l10238,3392.0,10000.0,2.94811320754717,10.61320754716981
M,l10239,3392.0,10000.0,2.94811320754717,10.61320754716981
M,l10240,3392.0,10000.0,2.94811320754717,10.61320754716981
M,l10241,3394.0,10000.0,2.946375957572186,10.606953447259867
M,l10243,3398.0,10000.0,2.942907592701589,10.59446733372572
M,l10244,3398.0,10000.0,2.942907592701589,10.59446733372572
M,l10245,3398.0,10000.0,2.942907592701589,10.59446733372572
M,l10247,3415.0,10000.0,2.928257686676428,10.54172767203514
M,l10248,3428.0,10000.0,2.9171528588098017,10.501750291715286
M,l10249,3429.0,10000.0,2.916302128900554,10.498687664041991
M,l10250,3432.0,10000.0,2.913752913752914,10.48951048951049
M,l10254,3448.0,10000.0,2.9002320185614847,10.440835266821344
M,l10255,3462.0,10000.0,2.8885037550548818,10.398613518197577
M,l10258,3470.0,10000.0,2.881844380403458,10.374639769452449
M,l10259,3479.0,10000.0,2.874389192296637,10.347801092267892
M,l10260,3481.0,10000.0,2.872737719046251,10.341855788566503
M,l10261,3483.0,10000.0,2.871088142405972,10.3359173126615
M,l10262,3484.0,10000.0,2.8702640642939152,10.332950631458091
M,l10264,3486.0,10000.0,2.868617326448652,10.327022375215146
M,l10265,3498.0,10000.0,2.858776443682104,10.291595197255576
M,l10266,3500.0,10000.0,2.857142857142857,10.285714285714286
M,l10267,3504.0,10000.0,2.853881278538813,10.273972602739727
M,l10268,3507.0,10000.0,2.85143997718848,10.26518391787853
M,l10271,3528.0,10000.0,2.834467120181406,10.20408163265306
M,l10272,3528.0,10000.0,2.834467120181406,10.20408163265306
M,l10273,3559.0,10000.0,2.809778027535825,10.11520089912897
M,l10274,3564.0,10000.0,2.8058361391694726,10.1010101010101
M,l10277,3587.0,10000.0,2.7878449958182325,10.036241984945637
M,l10278,3596.0,10000.0,2.7808676307007785,10.011123470522802
M,l10280,3597.0,10000.0,2.780094523213789,10.00834028356964
M,l10281,3627.0,10000.0,2.7570995312930795,9.925558312655086
M,l10284,3644.0,10000.0,2.74423710208562,9.879253567508233
M,l10285,3651.0,10000.0,2.7389756231169544,9.860312243221037
M,l10287,3677.0,10000.0,2.7196083763938,9.790590155017677
M,l10288,3678.0,10000.0,2.718868950516585,9.787928221859705
M,l10289,3679.0,10000.0,2.718129926610492,9.785267735797772
M,l10290,3679.0,10000.0,2.718129926610492,9.785267735797772
M,l10291,3687.0,10000.0,2.712232167073501,9.764035801464605
M,l10294,3718.0,10000.0,2.6896180742334588,9.682625067240451
M,l10296,3735.0,10000.0,2.677376171352075,9.638554216867467
M,l10301,3763.0,10000.0,2.6574541589157588,9.56683497209673
M,l10302,3766.0,10000.0,2.655337227827934,9.559214020180564
M,l10304,3779.0,10000.0,2.646202699126753,9.526329716856312
M,l10307,3793.0,10000.0,2.636435539151068,9.491167940943845
M,l10310,3834.0,10000.0,2.608242044861764,9.389671361502348
M,l10312,3876.0,10000.0,2.579979360165119,9.287925696594428
M,l10313,3899.0,10000.0,2.564760194921775,9.23313670171839
M,l10314,3923.0,10000.0,2.549069589599796,9.176650522559264
M,l10315,3925.0,10000.0,2.5477707006369426,9.171974522292992
M,l10316,3936.0,10000.0,2.540650406504065,9.146341463414634
M,l10319,3940.0,10000.0,2.538071065989848,9.137055837563452
M,l10322,3968.0,10000.0,2.5201612903225805,9.07258064516129
M,l10323,3973.0,10000.0,2.51698968034231,9.061162849232318
M,l10324,3974.0,10000.0,2.5163563160543534,9.058882737795672
M,l10325,3974.0,10000.0,2.5163563160543534,9.058882737795672
M,l10327,3987.0,10000.0,2.508151492350138,9.029345372460496
M,l10328,3988.0,10000.0,2.507522567703109,9.027081243731192
M,l10333,4014.0,10000.0,2.491280518186348,8.968609865470851
M,l10335,4020.0,10000.0,2.487562189054726,8.955223880597014
M,l10336,4021.0,10000.0,2.486943546381497,8.952996766973389
M,l10340,4042.0,10000.0,2.474022761009401,8.906481939633844
M,l10341,4056.0,10000.0,2.465483234714004,8.875739644970416
M,l10342,4058.0,10000.0,2.464268112370626,8.871365204534253
M,l10344,4067.0,10000.0,2.4588148512417014,8.851733464470126
M,l10345,4070.0,10000.0,2.457002457002457,8.845208845208845
M,l10348,4129.0,10000.0,2.4218939210462582,8.71881811576653
M,l10349,4139.0,10000.0,2.416042522348393,8.697753080454216
M,l10355,4395.0,10000.0,2.2753128555176336,8.19112627986348
M,l10358,4469.0,10000.0,2.2376370552696354,8.055493398970688
M,l10359,4501.0,10000.0,2.221728504776716,7.998222617196179
M,l10360,4658.0,10000.0,2.1468441391155,7.728638900815801
M,l10362,4949.0,10000.0,2.020610224287735,7.274196807435846
M,l10363,4983.0,10000.0,2.006823198876179,7.224563515954244
F,l1057,2654.0,10000.0,3.767897513187641,13.564431047475509
F,l1060,2681.0,10000.0,3.729951510630362,13.427825438269304
F,l1065,2691.0,10000.0,3.716090672612412,13.377926421404684
F,l1067,2714.0,10000.0,3.684598378776714,13.26455416359617
F,l1068,2714.0,10000.0,3.684598378776714,13.26455416359617
F,l1073,2740.0,10000.0,3.6496350364963503,13.13868613138686
F,l10100,2907.0,10000.0,3.4399724802201583,12.383900928792569
F,l10102,2909.0,10000.0,3.4376074252320383,12.375386730835338
F,l10107,2918.0,10000.0,3.427004797806717,12.33721727210418
F,l10110,2926.0,10000.0,3.417634996582365,12.303485987696517
F,l10128,2990.0,10000.0,3.3444816053511706,12.040133779264211
F,l10146,3056.0,10000.0,3.272251308900524,11.780104712041885
F,l10147,3065.0,10000.0,3.2626427406199023,11.745513866231647
F,l10150,3078.0,10000.0,3.248862897985705,11.695906432748538
F,l10152,3080.0,10000.0,3.2467532467532467,11.688311688311687
F,l10155,3088.0,10000.0,3.238341968911917,11.658031088082902
F,l10158,3105.0,10000.0,3.2206119162640903,11.594202898550725
F,l10159,3107.0,10000.0,3.21853878339234,11.586739620212423
F,l10165,3126.0,10000.0,3.198976327575176,11.516314779270632
F,l10169,3131.0,10000.0,3.1938677738741617,11.49792398594698
F,l10178,3161.0,10000.0,3.1635558367605188,11.388801012337868
F,l10182,3188.0,10000.0,3.136762860727729,11.292346298619824
F,l10186,3200.0,10000.0,3.125,11.25
F,l10190,3215.0,10000.0,3.1104199066874028,11.19751166407465
F,l10193,3216.0,10000.0,3.109452736318408,11.194029850746269
F,l10197,3246.0,10000.0,3.0807147258163896,11.090573012939004
F,l10198,3247.0,10000.0,3.079765937788728,11.08715737603942
F,l10206,3284.0,10000.0,3.045066991473812,10.962241169305724
F,l10211,3312.0,10000.0,3.0193236714975846,10.869565217391305
F,l10212,3315.0,10000.0,3.016591251885369,10.85972850678733
F,l10213,3317.0,10000.0,3.014772384684956,10.853180584865845
F,l10215,3325.0,10000.0,3.007518796992481,10.827067669172932
F,l10218,3332.0,10000.0,3.0012004801920766,10.804321728691477
F,l10220,3334.0,10000.0,2.9994001199760048,10.797840431913617
F,l10224,3350.0,10000.0,2.985074626865672,10.74626865671642
F,l10225,3351.0,10000.0,2.9841838257236644,10.743061772605191
F,l10230,3372.0,10000.0,2.965599051008304,10.676156583629894
F,l10232,3376.0,10000.0,2.962085308056872,10.66350710900474
F,l10234,3380.0,10000.0,2.9585798816568047,10.650887573964498
F,l10235,3386.0,10000.0,2.9533372711163617,10.632014176018902
F,l10242,3394.0,10000.0,2.946375957572186,10.606953447259867
F,l10246,3399.0,10000.0,2.942041776993233,10.59135039717564
F,l10251,3437.0,10000.0,2.909514111143439,10.47425080011638
F,l10252,3442.0,10000.0,2.905287623474724,10.459035444509006
F,l10253,3448.0,10000.0,2.9002320185614847,10.440835266821344
F,l10256,3462.0,10000.0,2.8885037550548818,10.398613518197577
F,l10257,3464.0,10000.0,2.886836027713626,10.392609699769054
F,l10263,3485.0,10000.0,2.8694404591104736,10.329985652797705
F,l10269,3514.0,10000.0,2.845759817871372,10.244735344336938
F,l10270,3516.0,10000.0,2.844141069397042,10.238907849829353
F,l10275,3582.0,10000.0,2.7917364600781687,10.050251256281406
F,l10276,3587.0,10000.0,2.7878449958182325,10.036241984945637
F,l10279,3597.0,10000.0,2.780094523213789,10.00834028356964
F,l10282,3631.0,10000.0,2.7540622418066647,9.914624070503992
F,l10283,3644.0,10000.0,2.74423710208562,9.879253567508233
F,l10286,3654.0,10000.0,2.736726874657909,9.852216748768472
F,l10292,3689.0,10000.0,2.7107617240444566,9.758742206560044
F,l10293,3690.0,10000.0,2.710027100271003,9.75609756097561
F,l10295,3733.0,10000.0,2.678810608090008,9.643718189124028
F,l10297,3740.0,10000.0,2.6737967914438503,9.625668449197862
F,l10298,3741.0,10000.0,2.6730820636193533,9.623095429029672
F,l10299,3744.0,10000.0,2.6709401709401708,9.615384615384617
F,l10300,3753.0,10000.0,2.664535038635758,9.59232613908873
F,l10303,3777.0,10000.0,2.6476039184537994,9.531374106433676
F,l10305,3781.0,10000.0,2.644802962179317,9.521290663845544
F,l10306,3791.0,10000.0,2.637826431020839,9.49617515167502
F,l10308,3807.0,10000.0,2.6267402153926978,9.456264775413713
F,l10309,3821.0,10000.0,2.617115938236064,9.42161737764983
F,l10311,3836.0,10000.0,2.6068821689259645,9.384775808133472
F,l10317,3938.0,10000.0,2.5393600812595225,9.14169629253428
F,l10318,3938.0,10000.0,2.5393600812595225,9.14169629253428
F,l10320,3947.0,10000.0,2.533569799847986,9.12085127945275
F,l10321,3955.0,10000.0,2.528445006321113,9.102402022756005
F,l10326,3985.0,10000.0,2.5094102885821834,9.03387703889586
F,l10329,3992.0,10000.0,2.50501002004008,9.01803607214429
F,l10330,3995.0,10000.0,2.503128911138924,9.011264080100124
F,l10331,4000.0,10000.0,2.5,9.0
F,l10332,4010.0,10000.0,2.493765586034913,8.977556109725686
F,l10334,4020.0,10000.0,2.487562189054726,8.955223880597014
F,l10337,4028.0,10000.0,2.4826216484607744,8.937437934458787
F,l10338,4032.0,10000.0,2.4801587301587302,8.928571428571429
F,l10339,4034.0,10000.0,2.478929102627665,8.924144769459593
F,l10343,4060.0,10000.0,2.4630541871921183,8.866995073891626
F,l10346,4077.0,10000.0,2.452783909737552,8.830022075055187
F,l10347,4079.0,10000.0,2.4515812699190977,8.825692571708753
F,l10350,4220.0,10000.0,2.3696682464454977,8.530805687203792
F,l10351,4253.0,10000.0,2.351281448389372,8.464613214201739
F,l10352,4253.0,10000.0,2.351281448389372,8.464613214201739
F,l10353,4342.0,10000.0,2.3030861354214647,8.291110087517273
F,l10354,4360.0,10000.0,2.293577981651376,8.256880733944953
F,l10356,4414.0,10000.0,2.265518803806072,8.155867693701857
F,l10357,4424.0,10000.0,2.260397830018084,8.1374321880651
F,l10361,4667.0,10000.0,2.142704092564817,7.713734733233341
F,l10364,5414.0,10000.0,1.847063169560399,6.649427410417436
F,l10365,5660.0,10000.0,1.7667844522968197,6.36042402826855
M,l210,4477.0,21000.0,4.6906410542774175,16.8863077953987
M,l211,4627.0,21000.0,4.53857791225416,16.338880484114977
M,l212,4676.0,21000.0,4.491017964071856,16.167664670658684
M,l213,4747.0,21000.0,4.423846639983148,15.925847903939331
M,l214,4796.0,21000.0,4.378648874061718,15.763135946622183
M,l215,4808.0,21000.0,4.367720465890183,15.723793677204656
M,l216,4885.0,21000.0,4.298874104401229,15.475946775844422
M,l217,4948.0,21000.0,4.244139046079224,15.278900565885206
M,l218,4966.0,21000.0,4.2287555376560615,15.22351993556182
M,l219,5066.0,21000.0,4.145282273983419,14.923016186340307
M,l2110,5084.0,21000.0,4.130605822187254,14.870180959874116
M,l2111,5139.0,21000.0,4.086398131932283,14.711033274956218
M,l2112,5187.0,21000.0,4.048582995951417,14.5748987854251
M,l2113,5200.0,21000.0,4.038461538461538,14.538461538461537
M,l2114,5232.0,21000.0,4.013761467889908,14.449541284403669
M,l2115,5285.0,21000.0,3.9735099337748334,14.304635761589402
M,l2116,5312.0,21000.0,3.953313253012048,14.231927710843374
