Gender,Name,Time,Distance,moyenne/athlete/3k,moyenne/générale/3k,Rapport(Athlete/moyenne)3k au KM,moyenne/athlete/5k,moyenne/générale/5k,Rapport(Athlete/moyenne)5k au km,moyenne/athlete/10k,moyenne/générale/10k,Rapport(Athlete/moyenne)10k au km,moyenne/athlete/21k,moyenne/générale/21k,Rapport(Athlete/moyenne)21k au km,moyenne/athlete/42k,moyenne/générale/42k,Rapport(Athlete/moyenne)42k au km,Score/athlete,T/K
M,l103,2166.0,10000,,4.586256643887624,,,0.08337912912912913,,0.06016666666666667,0.0897620018115942,-0.029595335144927536,,0.09401702819492576,,,0.0991619748564193,,-0.029595335144927536,3.61
M,l104,2174.0,10000,,4.586256643887624,,,0.08337912912912913,,0.060388888888888895,0.0897620018115942,-0.029373112922705308,,0.09401702819492576,,,0.0991619748564193,,-0.029373112922705308,3.6233333333333335
M,l105,2177.0,10000,,4.586256643887624,,,0.08337912912912913,,0.06047222222222222,0.0897620018115942,-0.029289779589371984,,0.09401702819492576,,,0.0991619748564193,,-0.029289779589371984,3.628333333333333
M,l106,2241.0,10000,,4.586256643887624,,,0.08337912912912913,,0.06225,0.0897620018115942,-0.027512001811594203,,0.09401702819492576,,,0.0991619748564193,,-0.027512001811594203,3.735
M,l107,2272.0,10000,,4.586256643887624,,,0.08337912912912913,,0.0631111111111111,0.0897620018115942,-0.0266508907004831,,0.09401702819492576,,,0.0991619748564193,,-0.0266508907004831,3.7866666666666666
M,l108,2297.0,10000,,4.586256643887624,,,0.08337912912912913,,0.06380555555555555,0.0897620018115942,-0.025956446256038657,,0.09401702819492576,,,0.0991619748564193,,-0.025956446256038657,3.828333333333333
M,l109,2298.0,10000,,4.586256643887624,,,0.08337912912912913,,0.06383333333333334,0.0897620018115942,-0.025928668478260863,,0.09401702819492576,,,0.0991619748564193,,-0.025928668478260863,3.83
M,l1010,2308.0,10000,,4.586256643887624,,,0.08337912912912913,,0.0641111111111111,0.0897620018115942,-0.025650890700483098,,0.09401702819492576,,,0.0991619748564193,,-0.025650890700483098,3.8466666666666667
M,l1011,2318.0,10000,,4.586256643887624,,,0.08337912912912913,,0.0643888888888889,0.0897620018115942,-0.025373112922705304,,0.09401702819492576,,,0.0991619748564193,,-0.025373112922705304,3.8633333333333337
M,l1012,2334.0,10000,,4.586256643887624,,,0.08337912912912913,,0.06483333333333334,0.0897620018115942,-0.024928668478260863,,0.09401702819492576,,,0.0991619748564193,,-0.024928668478260863,3.89
M,l1013,2342.0,10000,,4.586256643887624,,,0.08337912912912913,,0.06505555555555556,0.0897620018115942,-0.02470644625603864,,0.09401702819492576,,,0.0991619748564193,,-0.02470644625603864,3.9033333333333333
M,l1014,2346.0,10000,,4.586256643887624,,,0.08337912912912913,,0.06516666666666666,0.0897620018115942,-0.024595335144927538,,0.09401702819492576,,,0.0991619748564193,,-0.024595335144927538,3.9099999999999997
M,l1015,2350.0,10000,,4.586256643887624,,,0.08337912912912913,,0.06527777777777778,0.0897620018115942,-0.02448422403381642,,0.09401702819492576,,,0.0991619748564193,,-0.02448422403381642,3.9166666666666665
M,l1016,2356.0,10000,,4.586256643887624,,,0.08337912912912913,,0.06544444444444444,0.0897620018115942,-0.02431755736714976,,0.09401702819492576,,,0.0991619748564193,,-0.02431755736714976,3.9266666666666667
M,l1017,2360.0,10000,,4.586256643887624,,,0.08337912912912913,,0.06555555555555555,0.0897620018115942,-0.024206446256038655,,0.09401702819492576,,,0.0991619748564193,,-0.024206446256038655,3.933333333333333
M,l1018,2364.0,10000,,4.586256643887624,,,0.08337912912912913,,0.06566666666666666,0.0897620018115942,-0.024095335144927538,,0.09401702819492576,,,0.0991619748564193,,-0.024095335144927538,3.94
M,l1019,2369.0,10000,,4.586256643887624,,,0.08337912912912913,,0.06580555555555555,0.0897620018115942,-0.023956446256038655,,0.09401702819492576,,,0.0991619748564193,,-0.023956446256038655,3.9483333333333333
M,l1020,2399.0,10000,,4.586256643887624,,,0.08337912912912913,,0.06663888888888889,0.0897620018115942,-0.023123112922705316,,0.09401702819492576,,,0.0991619748564193,,-0.023123112922705316,3.9983333333333335
M,l1021,2401.0,10000,,4.586256643887624,,,0.08337912912912913,,0.06669444444444445,0.0897620018115942,-0.023067557367149757,,0.09401702819492576,,,0.0991619748564193,,-0.023067557367149757,4.001666666666667
M,l1022,2428.0,10000,,4.586256643887624,,,0.08337912912912913,,0.06744444444444445,0.0897620018115942,-0.022317557367149757,,0.09401702819492576,,,0.0991619748564193,,-0.022317557367149757,4.046666666666667
M,l1023,2430.0,10000,,4.586256643887624,,,0.08337912912912913,,0.06749999999999999,0.0897620018115942,-0.022262001811594212,,0.09401702819492576,,,0.0991619748564193,,-0.022262001811594212,4.05
M,l1024,2434.0,10000,,4.586256643887624,,,0.08337912912912913,,0.06761111111111111,0.0897620018115942,-0.022150890700483095,,0.09401702819492576,,,0.0991619748564193,,-0.022150890700483095,4.056666666666667
M,l1025,2438.0,10000,,4.586256643887624,,,0.08337912912912913,,0.06772222222222223,0.0897620018115942,-0.022039779589371977,,0.09401702819492576,,,0.0991619748564193,,-0.022039779589371977,4.0633333333333335
M,l1026,2460.0,10000,,4.586256643887624,,,0.08337912912912913,,0.06833333333333333,0.0897620018115942,-0.021428668478260873,,0.09401702819492576,,,0.0991619748564193,,-0.021428668478260873,4.1
M,l1027,2463.0,10000,,4.586256643887624,,,0.08337912912912913,,0.06841666666666667,0.0897620018115942,-0.021345335144927535,,0.09401702819492576,,,0.0991619748564193,,-0.021345335144927535,4.105
